feature,A_vs_C_p,A_vs_F_p,F_vs_C_p,A_vs_C_stat,A_vs_F_stat,F_vs_C_stat,A_vs_C_significant,A_vs_F_significant,F_vs_C_significant,min_p
alpha_betweenness_std,3.515778981233714e-05,0.2375341013359652,0.010718082821120698,-4.137194618379081,-1.1811727571043975,-2.5517583505799415,True,False,True,3.515778981233714e-05
alpha_eigenvector_mean,9.899012821605682e-05,0.3756824274046201,0.006219086900173975,3.8930539471190713,0.8858795678282981,2.7360008307662187,True,False,True,9.899012821605682e-05
alpha_eigenvector_std,9.899012821605682e-05,0.3756824274046201,0.006219086900173975,-3.8930539471190713,-0.8858795678282981,-2.7360008307662187,True,False,True,9.899012821605682e-05
theta_max_edge_weight,0.00011033592160655995,0.06439028316101916,0.2729725527125979,-3.8666603610369084,-1.8494678696766225,-1.0962427571083504,True,True,False,0.00011033592160655995
alpha_std_clustering,0.00016917723592868613,0.2766294210528605,0.014638023816508104,-3.7610860167082554,-1.0879222762803662,-2.4412128624681753,True,False,True,0.00016917723592868613
alpha_min_edge_weight,0.0002197984872801607,0.5864682156274375,0.005250107641147949,3.695102051502847,0.5439611381401831,2.7912735748221023,True,False,True,0.0002197984872801607
alpha_std_edge_weight,0.00023149744359936283,0.6976137433876384,0.0006756505177740893,-3.6819052584617658,-0.38854367010013074,-3.3992737594368174,True,False,True,0.00023149744359936283
alpha_betweenness_mean,0.00029174724587434185,0.41010288939671624,0.009133106603516345,-3.6225196897768988,-0.8237125806122771,-2.6070310946358246,True,False,True,0.00029174724587434185
alpha_entropy,0.0004475223541842427,0.6747578413772244,0.004170480037485194,3.510346948927705,0.41962716370814124,2.864970566896613,True,False,True,0.0004475223541842427
alpha_std_strength,0.0007291450787026137,0.21952280758411968,0.03819760953163916,-3.378379018516889,-1.2277979975164133,-2.0727279020956204,True,False,True,0.0007291450787026137
alpha_mean_clustering,0.0016846591223637763,0.6976137433876384,0.008653315923674805,3.1408367437774203,0.38854367010013074,2.6254553426544525,True,False,True,0.0016846591223637763
alpha_average_clustering,0.0016846591223637763,0.6976137433876384,0.008653315923674805,3.1408367437774203,0.38854367010013074,2.6254553426544525,True,False,True,0.0016846591223637763
theta_total_strength,0.0024032649834431876,0.02842384970639042,0.6253780329881344,-3.0352623994487673,-2.1913862993647375,-0.488242572493635,True,True,False,0.0024032649834431876
theta_mean_connectivity,0.0024032649834431876,0.02842384970639042,0.6253780329881344,-3.0352623994487673,-2.1913862993647375,-0.488242572493635,True,True,False,0.0024032649834431876
theta_mean_strength,0.0024032649834431876,0.02842384970639042,0.6253780329881344,-3.0352623994487673,-2.1913862993647375,-0.488242572493635,True,True,False,0.0024032649834431876
theta_path_length,0.003251693438499826,0.02842384970639042,0.638484821303129,2.942884848161196,2.1913862993647375,0.46981832447500727,True,True,False,0.003251693438499826
alpha_mean_connectivity,0.0036925925657584025,0.7559261091876989,0.020764288911711823,2.9032944690379514,0.3108349360801046,2.3122431263377807,True,False,True,0.0036925925657584025
alpha_path_length,0.0036925925657584025,0.8036176432790345,0.018819275332313444,-2.9032944690379514,-0.2486679488640837,-2.3490916223750364,True,False,True,0.0036925925657584025
alpha_mean_strength,0.004187189735295758,0.7677699188521208,0.01703552467530018,2.8637040899147066,0.2952931892760994,2.3859401184122917,True,False,True,0.004187189735295758
alpha_total_strength,0.004187189735295758,0.7677699188521208,0.01703552467530018,2.8637040899147066,0.2952931892760994,2.3859401184122917,True,False,True,0.004187189735295758
theta_mean_clustering,0.004549534386978264,0.03323611983439452,0.6650366891909372,-2.8373105038325437,-2.1292193121487166,-0.4329698284377518,True,True,False,0.004549534386978264
theta_average_clustering,0.004549534386978264,0.03323611983439452,0.6650366891909372,-2.8373105038325437,-2.1292193121487166,-0.4329698284377518,True,True,False,0.004549534386978264
gamma_std_strength,0.09373961932951709,0.17633310107637967,0.006576193466606716,1.675992716217363,-1.352131971948455,2.7175765827475913,False,False,True,0.006576193466606716
theta_entropy,0.00969360745579482,0.01973954756993815,0.7332175700914463,-2.5865714360519934,-2.3312620206007844,-0.3408485883446131,True,True,False,0.00969360745579482
delta_max_edge_weight,0.00969360745579482,0.09947068714823748,0.789352442622795,-2.5865714360519934,-1.6474251612245543,-0.26715159627010215,True,False,False,0.00969360745579482
theta_min_edge_weight,0.010461860841778685,0.02326254734347398,0.6517055518344637,-2.56017784996983,-2.2690950333847635,-0.4513940764563795,True,True,False,0.010461860841778685
theta_std_edge_weight,0.010461860841778685,0.017412148594021917,0.7752030067589436,2.56017784996983,2.3778872610128,0.2855758442887299,True,True,False,0.010461860841778685
beta_path_length,0.012624356574277292,0.544429675855434,0.1429952195998519,-2.494193884764422,-0.606128125356204,-1.464727717480905,True,False,False,0.012624356574277292
beta_mean_strength,0.01410400547939594,0.5341589660995658,0.14809210307644693,2.454603505641177,0.6216698721602092,1.4463034694622774,True,False,False,0.01410400547939594
beta_total_strength,0.01410400547939594,0.5341589660995658,0.14809210307644693,2.454603505641177,0.6216698721602092,1.4463034694622774,True,False,False,0.01410400547939594
beta_mean_connectivity,0.01410400547939594,0.5039452325048875,0.15870067856887493,2.454603505641177,0.6682951125722248,1.409454973425022,True,False,False,0.01410400547939594
beta_entropy,0.018822432608370562,0.6521981002983805,0.16987471713734625,2.3490291613125245,0.4507106573161517,1.3726064773877664,True,False,False,0.018822432608370562
beta_mean_clustering,0.020919245048282176,0.5758185628779812,0.13803404004200678,2.3094387821892797,0.5595028849441883,1.4831519654995327,True,False,False,0.020919245048282176
beta_average_clustering,0.020919245048282176,0.5758185628779812,0.13803404004200678,2.3094387821892797,0.5595028849441883,1.4831519654995327,True,False,False,0.020919245048282176
theta_modularity,0.02321678260659134,0.4698696070143522,0.1642161097896272,-2.269848403066035,-0.7226912263862432,-1.391030725406394,True,False,False,0.02321678260659134
gamma_max_edge_weight,0.0434758567962693,0.5039452325048875,0.02400992551692792,2.0191093352854845,-0.6682951125722248,2.2569703822818976,True,False,True,0.02400992551692792
beta_std_edge_weight,0.024029852757093528,0.6861499083523757,0.18162839104251227,-2.2566516100249534,-0.40408541690413596,-1.335757981350511,True,False,False,0.024029852757093528
